Date,Group,Indexed Value
3/31/2011,India Under-served,100
4/30/2011,India Under-served,99.18617633
5/31/2011,India Under-served,97.60595223
6/30/2011,India Under-served,97.16342912
7/31/2011,India Under-served,98.70353871
8/31/2011,India Under-served,94.83211337
9/29/2011,India Under-served,93.95200062
10/31/2011,India Under-served,95.87269256
11/30/2011,India Under-served,92.53842325
12/31/2011,India Under-served,88.94324254
1/31/2012,India Under-served,97.603469
2/29/2012,India Under-served,101.1507743
3/31/2012,India Under-served,99.92896612
4/30/2012,India Under-served,98.08163002
5/31/2012,India Under-served,95.93331104
6/30/2012,India Under-served,100.7137352
7/31/2012,India Under-served,101.3989279
8/31/2012,India Under-served,104.2845501
9/30/2012,India Under-served,112.3420974
10/31/2012,India Under-served,113.7390038
11/30/2012,India Under-served,121.087036
12/31/2012,India Under-served,123.3012537
1/31/2013,India Under-served,117.8403056
2/28/2013,India Under-served,113.0806297
3/31/2013,India Under-served,114.6933694
4/30/2013,India Under-served,119.4900903
5/31/2013,India Under-served,121.7804217
6/30/2013,India Under-served,117.8202526
7/31/2013,India Under-served,115.3260063
8/31/2013,India Under-served,118.4738597
9/30/2013,India Under-served,128.2841664
10/31/2013,India Under-served,139.5364894
11/30/2013,India Under-served,143.9849531
12/31/2013,India Under-served,149.3813881
1/31/2014,India Under-served,138.7210648
2/28/2014,India Under-served,144.3669756
3/31/2014,India Under-served,147.679092
4/30/2014,India Under-served,151.7242507
5/31/2014,India Under-served,172.7185952
6/30/2014,India Under-served,182.9964719
7/31/2014,India Under-served,178.2580899
8/31/2014,India Under-served,181.0430021
9/30/2014,India Under-served,188.3832431
10/31/2014,India Under-served,196.0471721
11/30/2014,India Under-served,197.0201805
12/31/2014,India Under-served,200.9177424
1/31/2015,India Under-served,202.5973457
2/28/2015,India Under-served,207.480795
3/31/2015,India Under-served,214.2916183
4/30/2015,India Under-served,210.9081816
5/31/2015,India Under-served,211.1180853
6/30/2015,India Under-served,209.1369917
7/31/2015,India Under-served,224.2062691
8/31/2015,India Under-served,211.8694552
9/30/2015,India Under-served,219.1315728
10/31/2015,India Under-served,224.6663988
11/30/2015,India Under-served,238.6557981
12/31/2015,India Under-served,245.5911658
1/31/2016,India Under-served,231.7834522
2/29/2016,India Under-served,211.7175517
3/31/2016,India Under-served,235.347383
4/30/2016,India Under-served,239.6399359
5/31/2016,India Under-served,247.50547
6/30/2016,India Under-served,261.46914
7/31/2016,India Under-served,269.232262
8/31/2016,India Under-served,277.220109
9/30/2016,India Under-served,278.5562609
10/31/2016,India Under-served,288.2971105
11/30/2016,India Under-served,269.4224917
12/31/2016,India Under-served,266.834646
1/31/2017,India Under-served,272.6143836
2/28/2017,India Under-served,279.7171438
3/31/2017,India Under-served,291.1076042
4/30/2017,India Under-served,301.7430596
5/31/2017,India Under-served,291.8737517
6/30/2017,India Under-served,288.0323627
7/31/2017,India Under-served,291.0527186
8/31/2017,India Under-served,287.6210305
9/30/2017,India Under-served,282.7543156
10/31/2017,India Under-served,295.3108965
11/30/2017,India Under-served,296.405404
12/31/2017,India Under-served,312.3989699
1/31/2018,India Under-served,315.2465752
2/28/2018,India Under-served,305.4881781
3/31/2018,India Under-served,296.7653399
4/30/2018,India Under-served,325.1185949
5/31/2018,India Under-served,308.9276889
6/30/2018,India Under-served,303.1200521
7/31/2018,India Under-served,299.4451291
8/31/2018,India Under-served,319.4760207
9/30/2018,India Under-served,288.5842285
10/31/2018,India Under-served,300.6959286
11/30/2018,India Under-served,297.9728535
12/31/2018,India Under-served,293.7131505
1/31/2019,India Under-served,283.0095129
2/28/2019,India Under-served,271.9306128
3/31/2019,India Under-served,292.8295698
4/30/2019,India Under-served,287.6568778
5/31/2019,India Under-served,290.0039408
6/30/2019,India Under-served,274.5640374
7/31/2019,India Under-served,248.3360996
8/31/2019,India Under-served,246.3983331
9/30/2019,India Under-served,274.9536541
10/31/2019,India Under-served,265.4712675
11/30/2019,India Under-served,262.4979405
12/31/2019,India Under-served,265.1484652
1/31/2020,India Under-served,279.8548487
2/29/2020,India Under-served,258.9373148
3/31/2020,India Under-served,179.2637385
4/30/2020,India Under-served,209.3048537
5/31/2020,India Under-served,201.9564712
6/30/2020,India Under-served,229.5212199
7/31/2020,India Under-served,259.0096609
8/31/2020,India Under-served,284.1250332
9/30/2020,India Under-served,282.6585992
10/31/2020,India Under-served,268.2252639
11/30/2020,India Under-served,300.6162208
12/31/2020,India Under-served,312.8226696
1/31/2021,India Under-served,324.3677038
2/28/2021,India Under-served,335.6115209
3/31/2021,India Under-served,340.1563309
4/30/2021,India Under-served,347.6572437
5/31/2021,India Under-served,379.5220725
6/30/2021,India Under-served,429.8500567
7/31/2021,India Under-served,528.4923504
8/31/2021,India Under-served,597.6202855
9/30/2021,India Under-served,608.2995206
10/31/2021,India Under-served,606.8691217
11/30/2021,India Under-served,556.3463735
12/31/2021,India Under-served,601.2452908
1/31/2022,India Under-served,600.6007142
2/28/2022,India Under-served,582.4974927
3/31/2022,India Under-served,648.7557869
4/30/2022,India Under-served,682.5670943
5/31/2022,India Under-served,632.5655804
6/30/2022,India Under-served,628.6256592
7/31/2022,India Under-served,676.1818729
8/31/2022,India Under-served,719.9400259
9/30/2022,India Under-served,681.1906685
10/31/2022,India Under-served,692.5728842
11/30/2022,India Under-served,737.3512007
12/31/2022,India Under-served,708.6219685
1/31/2023,India Under-served,681.5937373
2/28/2023,India Under-served,672.681468
3/31/2023,India Under-served,668.789171
4/30/2023,India Under-served,710.266558
5/31/2023,India Under-served,701.564174
6/30/2023,India Under-served,763.007787
7/31/2023,India Under-served,812.1472584
8/31/2023,India Under-served,848.8492661
9/30/2023,India Under-served,880.5596051
10/31/2023,India Under-served,861.2615631
11/30/2023,India Under-served,903.0891496
12/31/2023,India Under-served,904.649659
1/31/2024,India Under-served,938.0391991
2/29/2024,India Under-served,906.4121182
3/31/2011,Nifty 50,100
4/30/2011,Nifty 50,98.42
5/31/2011,Nifty 50,95.17870476
6/30/2011,Nifty 50,96.67225115
7/31/2011,Nifty 50,93.84093225
8/31/2011,Nifty 50,85.60716932
9/29/2011,Nifty 50,84.61860423
10/31/2011,Nifty 50,91.18079346
11/30/2011,Nifty 50,82.71508149
12/31/2011,Nifty 50,79.15881485
1/31/2012,Nifty 50,89.00081485
2/29/2012,Nifty 50,92.18390886
3/31/2012,Nifty 50,90.65365597
4/30/2012,Nifty 50,89.84735876
5/31/2012,Nifty 50,84.29743189
6/30/2012,Nifty 50,90.36684698
7/31/2012,Nifty 50,89.51263386
8/31/2012,Nifty 50,90.01762959
9/30/2012,Nifty 50,97.62680262
10/31/2012,Nifty 50,96.20083161
11/30/2012,Nifty 50,100.6542093
12/31/2012,Nifty 50,101.0864514
1/31/2013,Nifty 50,103.3058648
2/28/2013,Nifty 50,97.45647355
3/31/2013,Nifty 50,97.27758366
4/30/2013,Nifty 50,101.0605057
5/31/2013,Nifty 50,102.463268
6/30/2013,Nifty 50,100.0026569
7/31/2013,Nifty 50,98.28750402
8/31/2013,Nifty 50,93.6624111
9/30/2013,Nifty 50,98.17281815
10/31/2013,Nifty 50,107.8244046
11/30/2013,Nifty 50,105.7181215
12/31/2013,Nifty 50,107.9074234
1/31/2014,Nifty 50,104.2357638
2/28/2014,Nifty 50,107.4444006
3/31/2014,Nifty 50,114.7577646
4/30/2014,Nifty 50,114.6242497
5/31/2014,Nifty 50,123.7571821
6/30/2014,Nifty 50,130.2857182
7/31/2014,Nifty 50,132.1677647
8/31/2014,Nifty 50,136.1569501
9/30/2014,Nifty 50,136.3358259
10/31/2014,Nifty 50,142.4535468
11/30/2014,Nifty 50,145.103304
12/31/2014,Nifty 50,141.7774137
1/31/2015,Nifty 50,150.784534
2/28/2015,Nifty 50,152.3755865
3/31/2015,Nifty 50,145.3429461
4/30/2015,Nifty 50,140.0451435
5/31/2015,Nifty 50,144.3612693
6/30/2015,Nifty 50,143.2460776
7/31/2015,Nifty 50,146.0593049
8/31/2015,Nifty 50,136.4470883
9/30/2015,Nifty 50,136.0636609
10/31/2015,Nifty 50,138.0646726
11/30/2015,Nifty 50,135.8300098
12/31/2015,Nifty 50,136.0200118
1/31/2016,Nifty 50,129.4675115
2/29/2016,Nifty 50,119.5993913
3/31/2016,Nifty 50,132.4604704
4/30/2016,Nifty 50,134.367337
5/31/2016,Nifty 50,139.6788334
6/30/2016,Nifty 50,141.8638561
7/31/2016,Nifty 50,147.867747
8/31/2016,Nifty 50,150.3959714
9/30/2016,Nifty 50,147.399589
10/31/2016,Nifty 50,147.6486457
11/30/2016,Nifty 50,140.7811872
12/31/2016,Nifty 50,140.1187479
1/31/2017,Nifty 50,146.5462919
2/28/2017,Nifty 50,151.9947267
3/31/2017,Nifty 50,157.0297788
4/30/2017,Nifty 50,159.2601623
5/31/2017,Nifty 50,164.689768
6/30/2017,Nifty 50,162.9720476
7/31/2017,Nifty 50,172.4926867
8/31/2017,Nifty 50,169.7676134
9/30/2017,Nifty 50,167.5543472
10/31/2017,Nifty 50,176.9123721
11/30/2017,Nifty 50,175.0508663
12/31/2017,Nifty 50,180.2570914
1/31/2018,Nifty 50,188.7643866
2/28/2018,Nifty 50,179.6092018
3/31/2018,Nifty 50,173.1191796
4/30/2018,Nifty 50,183.8286148
5/31/2018,Nifty 50,183.7738395
6/30/2018,Nifty 50,183.3998266
7/31/2018,Nifty 50,194.392553
8/31/2018,Nifty 50,199.9385564
9/30/2018,Nifty 50,187.0997298
10/31/2018,Nifty 50,177.7904893
11/30/2018,Nifty 50,186.1805311
12/31/2018,Nifty 50,185.9374655
1/31/2019,Nifty 50,185.396559
2/28/2019,Nifty 50,184.738399
3/31/2019,Nifty 50,198.9697175
4/30/2019,Nifty 50,201.0965413
5/31/2019,Nifty 50,204.0860768
6/30/2019,Nifty 50,201.7932152
7/31/2019,Nifty 50,190.3100783
8/31/2019,Nifty 50,188.6882147
9/30/2019,Nifty 50,196.4115379
10/31/2019,Nifty 50,203.3098075
11/30/2019,Nifty 50,206.3669563
12/31/2019,Nifty 50,208.2909401
1/31/2020,Nifty 50,204.7587865
2/29/2020,Nifty 50,191.7436517
3/31/2020,Nifty 50,147.1702173
4/30/2020,Nifty 50,168.7748103
5/31/2020,Nifty 50,163.9888148
6/30/2020,Nifty 50,176.3440779
7/31/2020,Nifty 50,189.5475029
8/31/2020,Nifty 50,194.9231891
9/30/2020,Nifty 50,192.5259226
10/31/2020,Nifty 50,199.282089
11/30/2020,Nifty 50,221.9923595
12/31/2020,Nifty 50,239.3286791
1/31/2021,Nifty 50,233.3864365
2/28/2021,Nifty 50,248.6986449
3/31/2021,Nifty 50,251.4639316
4/30/2021,Nifty 50,250.4437454
5/31/2021,Nifty 50,266.7342029
6/30/2021,Nifty 50,269.1083612
7/31/2021,Nifty 50,269.8195816
8/31/2021,Nifty 50,293.2556222
9/30/2021,Nifty 50,301.5737349
10/31/2021,Nifty 50,302.4895061
11/30/2021,Nifty 50,290.7051566
12/31/2021,Nifty 50,294.4846386
1/31/2022,Nifty 50,289.851817
2/28/2022,Nifty 50,280.7257519
3/31/2022,Nifty 50,291.9396374
4/30/2022,Nifty 50,293.9912528
5/31/2022,Nifty 50,285.0868807
6/30/2022,Nifty 50,271.2610381
7/31/2022,Nifty 50,294.9487307
8/31/2022,Nifty 50,305.2807246
9/30/2022,Nifty 50,293.8502956
10/31/2022,Nifty 50,309.6280522
11/30/2022,Nifty 50,322.4543017
12/31/2022,Nifty 50,312.9078866
1/31/2023,Nifty 50,303.6107251
2/28/2023,Nifty 50,297.4533002
3/31/2023,Nifty 50,298.4124971
4/30/2023,Nifty 50,310.5356793
5/31/2023,Nifty 50,318.6046219
6/30/2023,Nifty 50,338.4290075
7/31/2023,Nifty 50,348.3892599
8/31/2023,Nifty 50,339.5709753
9/30/2023,Nifty 50,346.3610545
10/31/2023,Nifty 50,336.498685
11/30/2023,Nifty 50,354.4350758
12/31/2023,Nifty 50,383.2673391
1/31/2024,Nifty 50,383.1668107
2/29/2024,Nifty 50,403.5907528
3/31/2011,S&P BSE 500,100
4/30/2011,S&P BSE 500,98.53
5/31/2011,S&P BSE 500,95.96577424
6/30/2011,S&P BSE 500,96.38326187
7/31/2011,S&P BSE 500,94.34013285
8/31/2011,S&P BSE 500,86.06082376
9/29/2011,S&P BSE 500,84.71483408
10/31/2011,S&P BSE 500,89.72282841
11/30/2011,S&P BSE 500,81.14940744
12/31/2011,S&P BSE 500,76.66118323
1/31/2012,S&P BSE 500,86.88452275
2/29/2012,S&P BSE 500,90.97011749
3/31/2012,S&P BSE 500,89.67467207
4/30/2012,S&P BSE 500,88.8638413
5/31/2012,S&P BSE 500,83.31233035
6/30/2012,S&P BSE 500,88.65105129
7/31/2012,S&P BSE 500,87.63260434
8/31/2012,S&P BSE 500,87.98601618
9/30/2012,S&P BSE 500,95.60307606
10/31/2012,S&P BSE 500,94.43909878
11/30/2012,S&P BSE 500,99.13109198
12/31/2012,S&P BSE 500,100.5787008
1/31/2013,S&P BSE 500,101.6953177
2/28/2013,S&P BSE 500,95.03501694
3/31/2013,S&P BSE 500,93.99056821
4/30/2013,S&P BSE 500,97.97427846
5/31/2013,S&P BSE 500,98.7256766
6/30/2013,S&P BSE 500,95.03992544
7/31/2013,S&P BSE 500,92.67190693
8/31/2013,S&P BSE 500,88.53815584
9/30/2013,S&P BSE 500,93.12826455
10/31/2013,S&P BSE 500,101.5743299
11/30/2013,S&P BSE 500,100.7994506
12/31/2013,S&P BSE 500,103.8524035
1/31/2014,S&P BSE 500,99.48357519
2/28/2014,S&P BSE 500,102.2791636
3/31/2014,S&P BSE 500,110.0466623
4/30/2014,S&P BSE 500,110.6687149
5/31/2014,S&P BSE 500,122.1288632
6/30/2014,S&P BSE 500,129.893974
7/31/2014,S&P BSE 500,130.4268777
8/31/2014,S&P BSE 500,133.9367189
9/30/2014,S&P BSE 500,134.960605
10/31/2014,S&P BSE 500,140.5540372
11/30/2014,S&P BSE 500,145.3467209
12/31/2014,S&P BSE 500,142.235264
1/31/2015,S&P BSE 500,150.5216042
2/28/2015,S&P BSE 500,151.9558141
3/31/2015,S&P BSE 500,146.5750393
4/30/2015,S&P BSE 500,141.9063946
5/31/2015,S&P BSE 500,146.2435167
6/30/2015,S&P BSE 500,144.6485203
7/31/2015,S&P BSE 500,149.0249103
8/31/2015,S&P BSE 500,139.7778312
9/30/2015,S&P BSE 500,139.272256
10/31/2015,S&P BSE 500,141.5714228
11/30/2015,S&P BSE 500,140.3681776
12/31/2015,S&P BSE 500,141.0757972
1/31/2016,S&P BSE 500,132.8482264
2/29/2016,S&P BSE 500,122.1289959
3/31/2016,S&P BSE 500,135.1179422
4/30/2016,S&P BSE 500,138.098329
5/31/2016,S&P BSE 500,142.7576873
6/30/2016,S&P BSE 500,146.3190015
7/31/2016,S&P BSE 500,153.7017801
8/31/2016,S&P BSE 500,157.0041378
9/30/2016,S&P BSE 500,155.2232817
10/31/2016,S&P BSE 500,157.587851
11/30/2016,S&P BSE 500,148.5164165
12/31/2016,S&P BSE 500,146.4117323
1/31/2017,S&P BSE 500,154.6832143
2/28/2017,S&P BSE 500,161.5419776
3/31/2017,S&P BSE 500,167.5774399
4/30/2017,S&P BSE 500,172.1853253
5/31/2017,S&P BSE 500,175.1026976
6/30/2017,S&P BSE 500,174.8280871
7/31/2017,S&P BSE 500,184.3635736
8/31/2017,S&P BSE 500,182.5713086
9/30/2017,S&P BSE 500,180.5624064
10/31/2017,S&P BSE 500,192.1686157
11/30/2017,S&P BSE 500,192.274878
12/31/2017,S&P BSE 500,199.0196846
1/31/2018,S&P BSE 500,203.5965271
2/28/2018,S&P BSE 500,194.6218032
3/31/2018,S&P BSE 500,187.3922494
4/30/2018,S&P BSE 500,199.6263484
